"title","url","course_num","subjects","grade_levels","length","type","uccsu","prereq","enroll_criteria","fulfillment","description"
"AP Calculus AB","https://curriculum.siprep.org/courses/ap-calculus-ab/","2413","Mathematics","12","Year","AP/Honors, Elective","C","Precalculus Accelerated or Precalculus Honors","Approval of Department Chair, B+ or higher in Precalculus Accelerated is course recommending, B requires teacher recommendation, B- or lower not eligible and satisfactory national test scores, minimum Math Dept. weighted GPA of 3.5 – with accelerated courses counting as +0.5 to the GPA for the accelerated course(s), and honors courses counting as +1.0 to the GPA for the honors course(s). Students are required to take the Advanced Placement exam in May.","","This course is designed for the student who is interested in pursuing a college major with a strong emphasis in mathematics. The course will cover three main topics of Calculus: limits, derivatives, and integrals. The course will emphasize a multi-representational approach to calculus with concepts and solutions expressed graphically, numerically, and analytically. The course emphasizes conceptual understanding of derivatives, integrals, and limits, as well as applications of these concepts. In order to develop these concepts, functions and graphs are a fundamental part of this course. A Texas Instruments TI-83 or TI-84 series graphing calculator is required. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"AP Calculus BC","https://curriculum.siprep.org/courses/ap-calculus-bc/","2423","Mathematics","12","Year","AP/Honors, Elective","C","Precalculus Honors","Approval of Department Chair, based on teacher recommendations and satisfactory national test scores, minimum Math Dept. weighted GPA of 3.65 – with accelerated courses counting as +0.5 to the GPA for the accelerated course(s), and honors courses counting as +1.0 to the GPA for the honors course(s). Students are required to take the Advanced Placement exam in May.","","AP Calculus BC is an extension of AP Calculus AB rather than an enhancement. This course includes all topics covered in the AP Calculus AB course, with similar emphases and similar depth of understanding required. The course also presents intensive study of parametric, polar, and vector functions; sequences and series; and elementary differential equations. A Texas Instruments TI-83 or TI-84 series graphing calculator is required. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"AP Chemistry","https://curriculum.siprep.org/courses/ap-chemistry-physical-science/","3034","Science","11, 12","Year","AP/Honors, Elective","D","Science GPA of 3.3 or higher, with successful completion of Biology, Chemistry (Chemistry Honors strongly recommended), Physics and Overall GPA of 3.3 or higher. Students not meeting these criteria may submit an appeal (see alternate criteria below).","","One of two years of science; UC approved laboratory science course","The AP Chemistry (Physical Science) course is equivalent in content, depth, and complexity to an introductory chemistry course at the college level. This course is designed to prepare the student to excel on the AP exam offered in May, and follows the AP curriculum closely. AP Chemistry is an in-depth, content-intensive study of chemical principles that allows students the opportunity to engage hands-on in scientific experimentation. Units of study include chemical reactions, modern atomic theory, molecular bonding, hybridization, organic chemistry, stoichiometry, thermodynamics, kinetics, aqueous equilibrium, acids, bases, precipitation, reduction, oxidation, electrochemistry, and nuclear chemistry. Students are required to take the Advanced Placement exam in May. Students are required to complete an assignment over the summer due on the first day of school. Corequisite – Students enrolling in this course must also enroll in the corresponding AP Science Laboratory course, which meets once per week for 50 minutes outside of the regular bell schedule. Meetings will occur before or after school. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"AP Computer Science A – Java","https://curriculum.siprep.org/courses/ap-computer-science-a-java/","9210","Mathematics, Technology & Engineering","10, 11, 12","Year","Elective","C","Algebra 1 and Geometry (or be concurrenly enrolled). Prior computer programming experience is not required, but strongly encouraged.","Math and Science GPA 3.3 or higher and strong interest in computer programming","","AP Computer Science A (AP CS-A) is equivalent to a one-semester, introductory college-level computer programming course. AP CS-A introduces students to computer science through programming. Fundamental topics in this course include the design of solutions to problems, the use of data structures to organize large sets of data, the development and implementation of algorithms to process data and discover new information, the analysis of potential solutions, and the ethical and social implications of computing systems. The course emphasizes object-oriented programming and design using the Java programming language. *Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations. ** Students are required to take the AP Computer Science exam administered in May."
"AP Computer Science Principles (AP CSP)","https://curriculum.siprep.org/courses/ap-computer-science-principles/","9212","Science, Technology & Engineering","10, 11, 12","Year","Elective","D","Algebra 1 and Geometry (or to be concurrently enrolled)","None","","AP Computer Science Principles (AP CSP) is equivalent to an introductory college-level computing course that introduces students to the breadth of the field of computer science. Students learn to design and evaluate solutions and to apply computer science to solve problems through the development of algorithms and programs. They incorporate abstraction into programs and use data to discover new knowledge. Students also explore how computing innovations and computing systems work (including the Internet), explore their potential impacts, and contribute to a computing culture that is collaborative and ethical. Roughly half the course is focused on learning to program in either the Python or Javascript programming languages, but the selection of a programming language is at the teacher’s discretion while the other half of the course covers non-programming topics of computer science. *Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations ** This class will be offered pending adequate enrollment. *** Students are required to take the AP Computer Science Principles exam in May."
"AP English Literature and Composition","https://curriculum.siprep.org/courses/ap-english-literature-and-composition/","1403","English","12","Year","AP/Honors, Elective","B","English 100 or 103H; English 200 or 203H; 300 or 303H","See Criteria for Honors Enrollment. Students selected and enrolled in English 403AP are required to take the Advanced Placement exam in May.","Eight semester graduation requirement","This full-year course is intended for the seniors who qualify in two ways: First, they must have the desire to sustain a high degree of effort throughout their senior year; second, they must have the proven ability to do accelerated work. The course itself has two goals: 1) to prepare the students to pass the AP exam administered in May of the senior year, and 2) to prepare them to take their place in a sophomore English class at whatever college they attend. The content of the course is divided into two major parts. The first is the study of literature required by the AP exam. Here the students become familiar with the novel, short story, poem, drama, and essay, particularly in their historical development. In the second part, the students work at perfecting their writing skills. Here they do two separate kinds of practice: 1) that aimed at proficiency for the exam itself, and 2) that aimed at proficiency in written expression for college level audiences. Admission to this course is by application, recommendation of the junior year teacher, and approval of the Chair. English 403AP is a senior English course in which the 1.00 increment is awarded by the UC system. Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"AP Latin","https://curriculum.siprep.org/courses/ap-latin/","4343","Latin","11, 12","Year","AP/Honors, Elective","E","Latin 3H. 3/4 Prose, 3/4 Poetry, with teacher recommendation","See criteria for Honors Enrollment. Students are required to take the Advanced Placement exam in May.","Meets one year of language graduation requirement","The Latin 4AP course is an advanced reading course. Selections from De Bello Gallico Books 1, 4, 5 and 6 and Vergil’s Aeneid Books 1, 2, 4, and 6 are read in Latin. Students will also read Caesar’s Conquest of Gaul Books 1, 6, and 7 and Vergil’s Aeneid Books 1, 2, 4, 6, 8, 10, and 12 in English. In addition to appropriate translation skills, students are expected to employ literary analysis (much as in an English literature class), in order to fully appreciate the Latin work being studied. The aims of this year-long course are: to improve the students’ ability to read, understand and translate Latin poetry and prose; to expose students to poetic syntax, figures of speech, and meter; to involve students in literary analysis of Latin poetry and prose; to enhance the student’s understanding of the literary and social contexts of the Roman world of the first century B.C. and A.D.; and to prepare students for the Advanced Placement exam in Latin. * This course will be offered pending adequate enrollment. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"AP Mandarin Language and Culture","https://curriculum.siprep.org/courses/ap-mandarin-language-and-culture/","4644","Mandarin","10, 11, 12","Year","AP/Honors, Elective","E","Mandarin 3 or 3H or placement by examination","See criteria for Honors Enrollment","Meets one year of language graduation requirement","AP Mandarin 4 is a two-semester advanced language course designed for students who have excelled in their previous Mandarin study and who are interested in pursuing a more rigorous course of study in Mandarin language and Chinese culture. Students will have the opportunity to demonstrate and improve proficiency in the three modes of communication—Interpersonal, Interpretive, and Presentational—defined as foundational in the Standards for Foreign Language Learning in the 21 st Century. This course will enhance the student’s cognitive, analytical, and communicative skills while emphasizing both fluency and accuracy in Mandarin. Authentic materials will be used to enhance student exploration of culture in both contemporary and historical contexts. The class is conducted mostly in Mandarin and students are encouraged to speak in Mandarin at all times. *This class will be offered pending adequate enrollment. ** Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"AP Music Theory","https://curriculum.siprep.org/courses/ap-music-theory/","6592","Fine Arts","9, 10, 11, 12","Semester","AP/Honors, Elective","F","Prior training and experience in vocal or instrumental music (optional) AND music theory (mandatory). A Fundamentals of Music Theory entrance exam will be administered to determine eligibility in the course. This must be done prior to selecting the course during the course request process.","Students must contact Dr. Clements to arrange taking the Fundamentals of Music Theory entrance exam prior to selecting the course during the course request process.","One semester of Fine Arts graduation requirement","Advanced Placement (AP) Music Theory is a fast-paced course including a substantial amount of homework in preparation for the AP music theory exam in May. This course prepares students to complete college level work in the areas of reading and analyzing notated music and aural training. Particular emphasis will be placed upon developing listening skills, sight-singing ability and knowledge of rhythm, melody, harmony, form and other compositional devices. Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations *This class will be offered pending adequate enrollment. **This course meets during the regular school day, periods 1-7, during fall OR spring semester. ***If you would like to consider signing up for AP Music Theory for next year, you need to come to the band room during either lunch on Tuesday February 3rd, 2026 to take an entrance exam."
"AP Physics C: Mechanics","https://curriculum.siprep.org/courses/ap-physics-c-mechanics-physical-science/","3047","Science","11, 12","Year","AP/Honors, Elective","D","Science GPA of 3.3 or successful completion of Biology, Chemistry, Physics (Physics Honors strongly recommended) and Overall GPA of 3.3 and previous or concurrent enrollment in AP Calculus AB or BC.","","One of two years of science; UC approved laboratory science course","The AP Physics (Physical Science) course is equivalent in content, depth, and complexity to an introductory physics course at the college level. This course is designed to prepare the student to excel on the AP Physics C: Mechanics exams offered in May. The course follows the AP curriculum closely. AP Physics is an in-depth, content-intensive study of physical principles that allows students the opportunity to engage hands-on in scientific experimentation. Core units of study include kinematics, Newton’s laws, conservation laws, harmonic motion, and rotational motion. Additional topics will vary but may include electricity & magnetism, relativity, quantum mechanics, particle physics, thermodynamics, and other advanced topics. Use of calculus in problem solving is expected to increase as the course progresses. Students are required to take the Advanced Placement exam in May. Students are required to complete an assignment over the summer due on the first day of school. This is a mathematically rigorous course which requires a solid foundation in both physics and math. Corequisite – Students enrolling in this course must also enroll in the corresponding AP Science Laboratory course, which meets once per week for 50 minutes outside of the regular bell schedule. Meetings will occur before or after school. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"AP Spanish Language & Culture","https://curriculum.siprep.org/courses/ap-spanish-language-culture/","4143","Spanish","10, 11, 12","Year","AP/Honors, Elective","E","Spanish 3 or 3H or 4","See criteria for Honors Enrollment. Students are required to take the Advanced Placement exam in May.","Meets one year of language graduation requirement","AP Spanish language covers the equivalent material of a third-year college course in advanced Spanish composition and conversation. The aims of this two-semester course are: to improve dramatically the student’s speaking ability; to review systematically grammar previously studied; to master — orally and in writing — new and more complex grammar concepts; to expose students to the literary use of Spanish and to increase both their literal and critical reading skills; to prepare students for the Advanced Placement Spanish Language Examination; and to enhance the students’ knowledge of the cultural diversity of the Spanish-speaking world. Students will be required to speak Spanish in a variety of situations ranging from class discussions to oral presentations and debates. Students will read newspaper and magazine articles, short stories, poems, and excerpts from novels or plays by peninsular and/or Latin American authors. The selected class materials are designed to stimulate and perfect conversation and to assist students in the imitation of the native speaker’s pronunciation, rhythm, moods and humor as their abilities increase. This class is conducted in Spanish, and students are expected to speak Spanish at all times. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"AP Statistics","https://curriculum.siprep.org/courses/ap-statistics/","2470","Mathematics","12","Year","AP/Honors, Elective","C","Algebra 2, Precalculus Accelerated or Precalculus Honors","Grade of B+ or better in Algebra 2, Approval of Department Chair, teacher recommendation. Students are required to take the Advanced Placement exam in May.","","This course is designed to give students a foundation for further studies in math while emphasizing preparation for majors in psychology, sociology, and other non-calculus fields. The course is intended for students wishing to complete the equivalent of a one-semester non-calculus based college course in statistics and will introduce them to the major concepts and tools for collecting, analyzing, and drawing conclusions from data. A Texas Instruments TI-83 or TI-84 series graphing calculator is required. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"Applied Chemistry","https://curriculum.siprep.org/courses/chemistry-in-the-community/","3032","Science","10, 11","Year","Elective","","Biology, Algebra 1","Requires recommendation (or endorsement) of academic counselor","Elective meeting graduation requirement of two years of science; UC approved laboratory course","Applied Chemistry (Physical Science) is an alternative chemistry curriculum that presents chemistry as a powerful way of thinking, rather than a static body of knowledge. In Applied Chemistry, students engage with four important issues of 21st century science: energy sources, environmental challenges, life and medicine, and material design. The focus is to use core concepts and ideas in chemistry as tools to understand these issues and the current efforts to solve them. Students build understanding of chemical ideas and phenomena in interactive activities with relevant topics, laboratory investigations, design challenges, analysis skills, and cost-benefit evaluations. Applied Chemistry does not satisfy the prerequisites for future honors or AP classes. Students who successfully complete this course can appeal for admission to honors or AP. UC/CSU Subject D Approval (pending)"
"Art and Architecture 1A","https://curriculum.siprep.org/courses/art-and-architecture-1a/","6100","Fine Arts","9, 10, 11, 12","Semester","Elective","F","None","None","One semester of Fine Arts graduation requirement","Designed to offer students the chance to learn about the art of architectural design in society and its effect on our sense of culture. Particularly interesting for students who plan to major in architecture and/or design of any kind, the class will provide field trips, involvement with our rich cultural environment, and an introduction to “hands-on” skills involving design and composition. Coursework will include short papers, a non-written final project, and opportunity for original creative expression. Students do not need to have experience in drawing in order to take this course."
"Art and Architecture 1B","https://curriculum.siprep.org/courses/art-and-architecture-1b/","6105","Fine Arts","9, 10, 11, 12","Semester","Elective","F","Art and Architecture 1A","None","One semester of Fine Arts graduation requirement","Art and Architecture 1B is a follow-up course to Art and Architecture 1A and is designed as a continuing study of the wealth of artistic expression manifested in the architecture, sculpture, painting and artifacts of traditional cultures and modern architectural expressions. An exploration of earth-friendly, sustainable and green architectural techniques will compliment the hands-on approach to building practices and inspire new thinking about shelter and cultural values. Studio assignments in architectural design, drawing and mixed-media architectural structures created from original student designs, will compliment our study of how particular architects and cultures have used architecture as an expression to image themselves, their culture, and their God."
"Art and Nature Intensive","https://curriculum.siprep.org/courses/art-and-nature-intensive/","6106, 6126, 6156","Fine Arts","9, 10, 11, 12","Semester","Elective","F","Art and Architecture 1A, Studio Art A, or Sculpture A and/or approval of instructor","None","One semester of Fine Arts graduation requirement","Instructor: Katie Wolf This semester-long evening class meets once a week from 5:45 pm-7:30 pm and is designed to explore the value of developing a personal and deep connection to Nature and creativity as part of educating the whole person. Our study of architects, artists, scientists, contemporary movements in sustainable choices and indeginous cultures will be a springboard for a variety of art-making studio assignments. Your research, class discussion and art projects will be the basis for your grade. A final portfolio of your work will summarize your understanding of the course work. All students are welcome to join us in Studio 108 and your grade will be averaged into your semester’s transcript as Art and Architecture 1B, Sculpture B or Studio Art B. The Art and Nature Intensive can fulfill the 2nd level of Art and Architecture 1A, Sculpture A or Studio Art A -OR- you may take the class as an elective for credit, because you are interested in Nature, building community and exploring the creative process. *This class will be offered pending adequate enrollment. **This course is offered outside of the 9:00 am – 2:45 pm school day. Alternate Course Titles for this course (it fulfills all of these): Art and Nature Intensive: Art and Architecture 1B (8W) [6106] Art and Nature Intensive: Studio Art B (8W) [6126] Art and Nature Intensive: Sculpture B (8W) [6156]"
"Artesania de las Americas: Handicrafts of the Americas","https://curriculum.siprep.org/courses/artesania-de-las-americas-handicrafts-of-the-americas/","4146","Spanish","10, 11, 12","Semester","Elective","G","Spanish 3, 3H, 4 or 4AP","Minimum semester grade of C+ in Spanish 3, 3H, 4 or 4AP, plus recommendation of Language Department Chair","Meets one semester of language graduation requirement","This one semester course will explore the origin, cultural value, and materials used to create a variety of Latin American handicrafts. Students will make their own craft for each unit. Scheduling approximately 9 class meetings per handicraft project would allow for 5-6 different units during a semester course. The class would be conducted in Spanish. Students would also learn new vocabulary and review a major grammar point per project. Each craft project would be accompanied by: historical background of object cultural value and meaning of object vocabulary list related to current topic at least one main grammar review point formal and informal commands preterite & imperfect present subjunctive future & conditional at least 2-3 reading comprehension activities music/videos/visuals *This class will be offered pending adequate enrollment."
"Astronomy","https://curriculum.siprep.org/courses/astronomy-physical-science/","3055","Science","10, 11, 12","Year","Elective","D","Chemistry, Physics","Science GPA 2.0 or higher","One of two years of science; UC approved laboratory science course","Astronomy (Physical Science) is the scientific study of celestial objects and phenomena. This course allows a student to apply fundamental concepts learned in biology, chemistry, and physics to new problems in astronomy. Units of study include the apparent motion of the sky, the characteristics of the planets and moons of our solar system, the properties and evolution of stars, the structure and behavior of galaxies, the Big Bang and early universe, and exotic and exciting concepts such as black holes, pulsars, extrasolar planets, curved spacetime, dark matter, and dark energy. A handful of nighttime observation sessions are recommended. * This course is offered as an on-line class. NOTE : For the 2024-2025 academic year, this course will be offered 8th period."
"Band 1A","https://curriculum.siprep.org/courses/band-1a/","6538","Performing Arts","9, 10, 11, 12","Semester","Elective","F","","Admission is by audition only, and depends on the instrumental requirements of the ensemble. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","Important Arts Department Information Course Description: The Band performs in two different stylistic configurations: Concert Band, which focuses on traditional classical and contemporary concert repertoire, and Pep Band, which plays a variety of popular musical styles. The class is open to students who play woodwinds, brass, or percussion. Students will study fundamental musical concepts, including tone production, instrument technique, intonation, ensemble awareness, and sight reading. The Band performs in the annual Winter Concerts, Spring Pops Concerts, and Performing Arts Assembly, as well as home football games, pep rallies, and other occasional school events. This course is offered during 0 period. (8:00-8:45 am, Tue, Thu during fall semester ONLY) Meets 2 mornings per week, plus: 8 home football & volleyball games (and playoffs, if applicable) for the FALL semester Fall/Winter & Spring Concerts First Semester Taken: Band A ( 6538 ) Second Semester Taken: Band B ( 6539 ) Subsequent Semesters Taken: Band C ( 9818)"
